sep=,
"Job","Clocked In","Clocked Out","Duration","Hourly Rate","Earnings","Comment","Tags","Breaks","Adjustments","TotalTimeAdjustment","TotalEarningsAdjustment"
"NN","01/08/2019 09:00","01/08/2019 17:20","8,33","180","1500","","","","","",""
"NN","02/08/2019 08:45","02/08/2019 17:10","8,42","180","1515","","","","","",""
"NN","06/08/2019 08:30","06/08/2019 15:00","6,5","180","1170","","","","","",""
"NN","07/08/2019 09:00","07/08/2019 18:00","9","180","1620","","","","","",""
"NN","12/08/2019 09:30","12/08/2019 17:10","7,67","180","1380","","","","","",""
"NN","13/08/2019 08:40","13/08/2019 17:45","9,08","180","1635","","","","","",""
"NN","14/08/2019 08:55","14/08/2019 17:35","8,67","180","1560","","","","","",""
"NN","15/08/2019 09:00","15/08/2019 16:00","7","180","1260","","","","","",""
"NN","26/08/2019 09:15","26/08/2019 18:00","8,75","180","1575","","","","","",""
"NN","27/08/2019 09:00","27/08/2019 17:00","8","180","1440","","","","","",""
"NN","28/08/2019 08:30","28/08/2019 17:00","8,5","180","1530","","","","","",""
"NN","29/08/2019 08:40","29/08/2019 17:30","8,83","180","1590","","","","","",""
"NN","30/08/2019 09:00","30/08/2019 16:00","7","180","1260","","","","","",""
